,name,first,middle,last,format
134,Alexander Larmon,Alexander,,Larmon,0
135,Randy Nelson,Randy,,Nelson,0
136,Ernesto Carraman,Ernesto,,Carraman,0
137,Scott Brunson,Scott,,Brunson,0
138,Stephen Schenck,Stephen,,Schenck,0
139,Alex Zoucha,Alex,,Zoucha,0
140,Jonathan Fowler,Jonathan,,Fowler,0
141,Larry Stepp,Larry,,Stepp,0
142,Demarco Rhymes,Demarco,,Rhymes,0
143,Kalyp Rapoza,Kalyp,,Rapoza,0
144,Henry Green,Henry,,Green,0
145,Jonathan Watson,Jonathan,,Watson,0
146,Bobby Sanchez,Bobby,,Sanchez,0
147,Jesus Duran,Jesus,,Duran,0
148,Omar Mateen,Omar,,Mateen,0
149,Charles Todero,Charles,,Todero,0
150,Mohammad Moghaddam,Mohammad,,Moghaddam,0
151,Russell Rosser,Russell,,Rosser,0
152,Peter Grandpre,Peter,,Grandpre,0
153,John Anderson,John,,Anderson,0
154,Sergey Makarenko,Sergey,,Makarenko,0
155,Antwun Shumpert,Antwun,,Shumpert,0
156,Rashaun Lloyd,Rashaun,,Lloyd,0
157,Anthony Ford,Anthony,,Ford,0
158,Clarence Howard,Clarence,,Howard,0
159,Lane Lesko,Lane,,Lesko,0
160,Jeffrey Hyde,Jeffrey,,Hyde,0
161,Roger Ponce,Roger,,Ponce,0
162,Jay Anderson,Jay,,Anderson,0
163,Quencezola Splunge,Quencezola,,Splunge,0
164,Shaun Walke,Shaun,,Walke,0
165,Angelo Brown,Angelo,,Brown,0
166,Joshua Herrera,Joshua,,Herrera,0
167,Dylan Noble,Dylan,,Noble,0
168,Randy Blecher,Randy,,Blecher,0
169,Donte Johnson,Donte,,Johnson,0
170,Terry Maurer,Terry,,Maurer,0
171,Blake Peacock,Blake,,Peacock,0
172,Raymond Hutson,Raymond,,Hutson,0
173,Walden Dang,Walden,,Dang,0
174,Barry Prak,Barry,,Prak,0
175,Tyrone Reado,Tyrone,,Reado,0
176,Anthony Nunez,Anthony,,Nunez,0
177,Delrawn Small,Delrawn,,Small,0
178,Sam Newby,Sam,,Newby,0
179,Joshua Bolster,Joshua,,Bolster,0
180,Earnest Fells,Earnest,,Fells,0
181,Tyler Gebhard,Tyler,,Gebhard,0
182,Joseph Mann,Joseph,,Mann,0
183,Jason Brooks,Jason,,Brooks,0
184,Larry Gordon,Larry,,Gordon,0
185,Gary Porter,Gary,,Porter,0
186,Donald Myers,Donald,,Myers,0
187,Roger Bales,Roger,,Bales,0
188,Dayten Harper,Dayten,,Harper,0
189,Bobby Horne,Bobby,,Horne,0
190,Cody Jarrett,Cody,,Jarrett,0
191,Jeffrey Tyson,Jeffrey,,Tyson,0
192,Juan Duran,Juan,,Duran,0
193,Ambrose Mecklenburg,Ambrose,,Mecklenburg,0
194,Saddam Trejeda-Campos,Saddam,,Trejeda-Campos,0
195,Jesus Rael,Jesus,,Rael,0
196,Paul O'Neal,Paul,,O'Neal,0
197,Omar Gonzalez,Omar,,Gonzalez,0
198,John Casey,John,,Casey,0
199,Bryan Byrd,Bryan,,Byrd,0
200,Kenneth Bonanno,Kenneth,,Bonanno,0
201,Preston Perez,Preston,,Perez,0
202,Matthew Conrad,Matthew,,Conrad,0
203,Demarco Newman,Demarco,,Newman,0
204,Bradley Carey,Bradley,,Carey,0
205,Johannes Wood,Johannes,,Wood,0
206,James Quealy,James,,Quealy,0
207,Mary Knowlton,Mary,,Knowlton,0
208,Jesse Romero,Jesse,,Romero,0
209,Marcus Sexton,Marcus,,Sexton,0
210,Anthony Edwards,Anthony,,Edwards,0
211,Mark Sawaf,Mark,,Sawaf,0
212,Ruben Strand,Ruben,,Strand,0
213,Fred Barlow,Fred,,Barlow,0
214,John O'Handley,John,,O'Handley,0
215,Marcos Gastelum,Marcos,,Gastelum,0
216,Joseph Weber,Joseph,,Weber,0
217,Marcelo Luna,Marcelo,,Luna,0
218,Trenton Lohman,Trenton,,Lohman,0
219,Brandon Coles,Brandon,,Coles,0
220,Juan Torres,Juan,,Torres,0
221,Kelley Forte,Kelley,,Forte,0
222,Jeffrey Hosea,Jeffrey,,Hosea,0
223,Jerry Jackson,Jerry,,Jackson,0
224,Donta Taylor,Donta,,Taylor,0
225,Terry Salazar,Terry,,Salazar,0
226,Jaqwan Terry,Jaqwan,,Terry,0
227,Alfred Toe,Alfred,,Toe,0
228,Lyle Blanchard,Lyle,,Blanchard,0
229,Ed Holup,Ed,,Holup,0
230,James Burgess,James,,Burgess,0
231,Bobby Buck,Bobby,,Buck,0
232,James Stuart,James,,Stuart,0
233,Kaylee Sawyer,Kaylee,,Sawyer,0
234,Caleb Douglas,Caleb,,Douglas,0
235,Joseph Moreno,Joseph,,Moreno,0
236,Donny Daugherty,Donny,,Daugherty,0
237,Cameron Ayers,Cameron,,Ayers,0
238,Jerome Damon,Jerome,,Damon,0
239,Jose Romero,Jose,,Romero,0
240,Moses Ruben,Moses,,Ruben,0
241,Bernard Cottrell,Bernard,,Cottrell,0
242,Dylan Papa,Dylan,,Papa,0
243,Jesse Joynt,Jesse,,Joynt,0
244,Robert Brown,Robert,,Brown,0
245,Jose Torres,Jose,,Torres,0
246,Morgan Crocker,Morgan,,Crocker,0
247,Donald Degraw,Donald,,Degraw,0
248,Joseph Schlosser,Joseph,,Schlosser,0
249,Jesse Beshaw,Jesse,,Beshaw,0
250,Terence Crutcher,Terence,,Crutcher,0
251,Robert Young,Robert,,Young,0
252,Lucas Anderson,Lucas,,Anderson,0
253,Robert Duh,Robert,,Duh,0
254,Tommy Seneca,Tommy,,Seneca,0
255,Jeremy Swenson,Jeremy,,Swenson,0
256,Joshua Scott,Joshua,,Scott,0
257,Sandy Duke,Sandy,,Duke,0
258,Jesse Attaway,Jesse,,Attaway,0
259,Cody Lafont,Cody,,Lafont,0
260,Anthony Bauer,Anthony,,Bauer,0
261,Tawon Boyd,Tawon,,Boyd,0
262,Alfred Olango,Alfred,,Olango,0
263,Gary Lafon,Gary,,Lafon,0
264,Clayton Baker,Clayton,,Baker,0
265,Joshua Perry,Joshua,,Perry,0
266,Donte Jones,Donte,,Jones,0
267,Robert Dapkus,Robert,,Dapkus,0
268,John Fetter,John,,Fetter,0
269,Zachary Sutton,Zachary,,Sutton,0
270,Lucas Felkel,Lucas,,Felkel,0
271,Joseph Schroeder,Joseph,,Schroeder,0
272,Larry Matthews,Larry,,Matthews,0
273,Dylan Rogers,Dylan,,Rogers,0
274,Charles Antrup,Charles,,Antrup,0
275,Kadeem Trotter,Kadeem,,Trotter,0
276,Thomas Burns,Thomas,,Burns,0
277,Matthew Brewer,Matthew,,Brewer,0
278,Shawn Pappe,Shawn,,Pappe,0
279,Chaz York,Chaz,,York,0
280,Sean Arlt,Sean,,Arlt,0
281,George Zapata,George,,Zapata,0
282,Rolando Delgado,Rolando,,Delgado,0
283,Deborah Danner,Deborah,,Danner,0
284,Frank Sandor,Frank,,Sandor,0
285,Junef Monzon,Junef,,Monzon,0
286,Aaron Ballard,Aaron,,Ballard,0
287,Brandon Jones,Brandon,,Jones,0
288,Chelsea Porter,Chelsea,,Porter,0
289,Thad Hale,Thad,,Hale,0
290,Jay Holmgren,Jay,,Holmgren,0
291,Kenneth Kennedy,Kenneth,,Kennedy,0
292,Jun Wang,Jun,,Wang,0
293,Terrence Coleman,Terrence,,Coleman,0
294,Jordan Gonzales,Jordan,,Gonzales,0
295,Rod Lucas,Rod,,Lucas,0
296,Jesse Taylor,Jesse,,Taylor,0
297,Ferguson Laurent,Ferguson,,Laurent,0
298,Manuel Rosales,Manuel,,Rosales,0
299,James Coale,James,,Coale,0
300,Joshua Beal,Joshua,,Beal,0
301,John Zemola,John,,Zemola,0
302,Joel Keenan,Joel,,Keenan,0
303,Joseph Newcomb,Joseph,,Newcomb,0
304,Kenton Kobza,Kenton,,Kobza,0
305,Juan Ramos,Juan,,Ramos,0
306,Carlos Mendez,Carlos,,Mendez,0
307,Juan Fernandez,Juan,,Fernandez,0
308,Robert Daffern,Robert,,Daffern,0
309,Jose Franco,Jose,,Franco,0
310,Jonathan Young,Jonathan,,Young,0
311,Joseph Fletcher,Joseph,,Fletcher,0
312,Dontrell Carter,Dontrell,,Carter,0
313,Samson Fleurant,Samson,,Fleurant,0
314,Mark Sly,Mark,,Sly,0
315,Frank Clark,Frank,,Clark,0
316,Rebecka Pearce,Rebecka,,Pearce,0
317,Marco Romero,Marco,,Romero,0
318,Kajuan Raye,Kajuan,,Raye,0
319,Jerome Harmon,Jerome,,Harmon,0
320,Derek Adame,Derek,,Adame,0
321,Norman Strobel,Norman,,Strobel,0
322,Terrell Walker,Terrell,,Walker,0
323,Walter Echols,Walter,,Echols,0
324,Abdul Artan,Abdul,,Artan,0
325,Pablo Cartagena,Pablo,,Cartagena,0
326,Keenan Bradley,Keenan,,Bradley,0
327,Jose Gomez,Jose,,Gomez,0
328,Dylan Dalzell,Dylan,,Dalzell,0
329,Derek Scott,Derek,,Scott,0
330,DeAngelo Webb,DeAngelo,,Webb,0
331,Josh Dunne,Josh,,Dunne,0
332,Norman Gary,Norman,,Gary,0
333,Westley Daum,Westley,,Daum,0
334,Wayne Dorsey,Wayne,,Dorsey,0
335,Keelan Murray,Keelan,,Murray,0
336,Bruce Johnson,Bruce,,Johnson,0
337,Sarah Palmer,Sarah,,Palmer,0
338,Randy Cumberledge,Randy,,Cumberledge,0
339,Kenneth Robledo,Kenneth,,Robledo,0
340,Robert Hess,Robert,,Hess,0
341,Ronald Massengale,Ronald,,Massengale,0
342,Paul Kolar,Paul,,Kolar,0
343,Ryan Joseph,Ryan,,Joseph,0
344,Edmund Studdard,Edmund,,Studdard,0
345,Colton Calaway,Colton,,Calaway,0
346,Jose Sanchez,Jose,,Sanchez,0
347,Gerald Hall,Gerald,,Hall,0
348,James Tylka,James,,Tylka,0
349,Codey Hardman,Codey,,Hardman,0
350,Alfonso Lopez,Alfonso,,Lopez,0
351,Jesse DeBusk,Jesse,,DeBusk,0
352,Joseph M. Acaba,Joseph,M,Acaba,4
353,Loren W. Acton,Loren,W,Acton,4
354,James C. Adamson,James,C,Adamson,4
355,Thomas D. Akers,Thomas,D,Akers,4
356,Joseph P. Allen,Joseph,P,Allen,4
357,Scott D. Altman,Scott,D,Altman,4
358,Clayton C. Anderson,Clayton,C,Anderson,4
359,Lee J. Archambault,Lee,J,Archambault,4
360,Jeffrey S. Ashby,Jeffrey,S,Ashby,4
361,Serena M. Aunon,Serena,M,Aunon,4
362,Ellen S. Baker,Ellen,S,Baker,4
363,Alan L. Bean,Alan,L,Bean,4
364,Robert L. Behnken,Robert,L,Behnken,4
365,John E. Blaha,John,E,Blaha,4
366,Karol J. Bobko,Karol,J,Bobko,4
367,Frank Borman,Frank,,Borman,0
368,Stephen G. Bowen,Stephen,G,Bowen,4
369,Kenneth D. Bowersox,Kenneth,D,Bowersox,4
370,Mark N. Brown,Mark,N,Brown,4
371,Jay Clark Buckey,Jay,Clark,Buckey,1
372,John S. Bull,John,S,Bull,4
373,Robert D. Cabana,Robert,D,Cabana,4
374,Charles J. Camarda,Charles,J,Camarda,4
375,Kenneth D. Cameron,Kenneth,D,Cameron,4
376,Duane G. Carey,Duane,G,Carey,4
377,Gerald P. Carr,Gerald,P,Carr,4
378,John H. Casper,John,H,Casper,4
379,Robert Cenker,Robert,,Cenker,0
380,Eugene A. Cernan,Eugene,A,Cernan,4
381,Roger B. Chaffee,Roger,B,Chaffee,4
382,Kalpana Chawla,Kalpana,,Chawla,0
383,Laurel B. Clark,Laurel,B,Clark,4
384,Kenneth D. Cockrell,Kenneth,D,Cockrell,4
385,Roger K. Crouch,Roger,K,Crouch,4
386,Lawrence J. Delucas,Lawrence,J,Delucas,4
387,Samuel T. Durrance,Samuel,T,Durrance,4
388,Anthony W. England,Anthony,W,England,4
389,Joe H. Engle,Joe,H,Engle,4
390,Jeanette J. Epps,Jeanette,J,Epps,4
391,Theodore C. Freeman,Theodore,C,Freeman,4
392,Dale A. Gardner,Dale,A,Gardner,4
393,Guy S. Gardner,Guy,S,Gardner,4
394,Jake Garn,Jake,,Garn,0
395,Charles D. Gemar,Charles,D,Gemar,4
396,Ronald J. Grabe,Ronald,J,Grabe,4
397,John M. Grunsfeld,John,M,Grunsfeld,4
398,Kenneth T. Ham,Kenneth,T,Ham,4
399,Gregory J. Harbaugh,Gregory,J,Harbaugh,4
400,Terry J. Hart,Terry,J,Hart,4
401,Susan J. Helms,Susan,J,Helms,4
402,Thomas J. Hennen,Thomas,J,Hennen,4
403,Jose M. Hernandez,Jose,M,Hernandez,4
404,Charles O. Hobaugh,Charles,O,Hobaugh,4
405,Jeffrey A. Hoffman,Jeffrey,A,Hoffman,4
406,Donald L. Holmquest,Donald,L,Holmquest,4
407,Douglas G. Hurley,Douglas,G,Hurley,4
408,Brent W. Jett,Brent,W,Jett,4
409,Gregory C. Johnson,Gregory,C,Johnson,4
410,Gregory H. Johnson,Gregory,H,Johnson,4
411,Thomas D. Jones,Thomas,D,Jones,4
412,James M. Kelly,James,M,Kelly,4
413,Mark E. Kelly,Mark,E,Kelly,4
414,Scott J. Kelly,Scott,J,Kelly,4
415,Wendy B. Lawrence,Wendy,B,Lawrence,4
416,Mark C. Lee,Mark,C,Lee,4
417,John A. Llewellyn,John,A,Llewellyn,4
418,Paul S. Lockhart,Paul,S,Lockhart,4
419,Jack R. Lousma,Jack,R,Lousma,4
420,Edward T. Lu,Edward,T,Lu,4
421,Thomas H. Marshburn,Thomas,H,Marshburn,4
422,Donald R. McMonagle,Donald,R,McMonagle,4
423,Carl J. Meade,Carl,J,Meade,4
424,Pamela A. Melroy,Pamela,A,Melroy,4
425,Barbara R. Morgan,Barbara,R,Morgan,4
426,George D. Nelson,George,D,Nelson,4
427,James H. Newman,James,H,Newman,4
428,Karen L. Nyberg,Karen,L,Nyberg,4
429,Bryan D. O'Connor,Bryan,D,O'Connor,4
430,Ellen Ochoa,Ellen,,Ochoa,0
431,Stephen S. Oswald,Stephen,S,Oswald,4
432,Robert A. Parker,Robert,A,Parker,4
433,James A. Pawelczyk,James,A,Pawelczyk,4
434,Gary E. Payton,Gary,E,Payton,4
435,Donald H. Peterson,Donald,H,Peterson,4
436,Mark L. Polansky,Mark,L,Polansky,4
437,Charles J. Precourt,Charles,J,Precourt,4
438,Stuart A. Roosa,Stuart,A,Roosa,4
439,Jerry L. Ross,Jerry,L,Ross,4
440,Paul D. Scully-Power,Paul,D,Scully-Power,4
441,Margaret Rhea Seddon,Margaret,Rhea,Seddon,1
442,Ronald M. Sega,Ronald,M,Sega,4
443,Donald K. Slayton,Donald,K,Slayton,4
444,Thomas P. Stafford,Thomas,P,Stafford,4
445,Robert L. Stewart,Robert,L,Stewart,4
446,Joseph R. Tanner,Joseph,R,Tanner,4
447,Norman E. Thagard,Norman,E,Thagard,4
448,Donald A. Thomas,Donald,A,Thomas,4
449,Stephen D. Thorne,Stephen,D,Thorne,4
450,Kathryn C. Thornton,Kathryn,C,Thornton,4
451,Charles D. Walker,Charles,D,Walker,4
452,Shannon Walker,Shannon,,Walker,0
453,Carl E. Walz,Carl,E,Walz,4
454,Taylor G. Wang,Taylor,G,Wang,4
455,Mary E. Weber,Mary,E,Weber,4
456,James D. Wetherbee,James,D,Wetherbee,4
457,Douglas H. Wheelock,Douglas,H,Wheelock,4
458,Alfred M. Worden,Alfred,M,Worden,4
459,John W. Young,John,W,Young,4
460,George D. Zamka,George,D,Zamka,4
461,Aafke Hament,Aafke,,Hament,0
462,Aage Brge Poulsen,Aage,Brge,Poulsen,1
463,Aage Hermann,Aage,,Hermann,0
464,Aage Justesen,Aage,,Justesen,0
465,Aage Walther,Aage,,Walther,0
466,Aagot Norman,Aagot,,Norman,0
467,Aapo Kustaa Perko,Aapo,Kustaa,Perko,1
468,Aarne Anders Pohjonen,Aarne,Anders,Pohjonen,1
469,Aaron Blunck,Aaron,,Blunck,0
470,Aaron Cleare,Aaron,,Cleare,0
471,Aaron Duane Olson,Aaron,Duane,Olson,1
472,Aaron E. Pollock,Aaron,E,Pollock,4
473,Aaron Egbele,Aaron,,Egbele,0
474,Aaron Feltham,Aaron,,Feltham,0
475,Aaron Fernandes,Aaron,,Fernandes,0
476,Aaron James Ramsey,Aaron,James,Ramsey,1
477,Aaron James Scott,Aaron,James,Scott,1
478,Aaron John Royle,Aaron,John,Royle,1
479,Aaron Kenneth Myette,Aaron,Kenneth,Myette,1
480,Aaron Lowe,Aaron,,Lowe,0
481,Aaron Parchem,Aaron,,Parchem,0
482,Aaron Popoola,Aaron,,Popoola,0
483,Aaron Ross Flood,Aaron,Ross,Flood,1
484,Aaron Russell,Aaron,,Russell,0
485,Aaron Teboho Mokoena,Aaron,Teboho,Mokoena,1
486,Aatto Johannes Nuora,Aatto,Johannes,Nuora,1
487,Abbas Fallah,Abbas,,Fallah,0
488,Abbas Mohamed,Abbas,,Mohamed,0
489,Abbas Zeghayer,Abbas,,Zeghayer,0
490,Abbubaker Mobara,Abbubaker,,Mobara,0
491,Abdalelah Haroun Hassan,Abdalelah,Haroun,Hassan,1
492,Abdalla Ahmed,Abdalla,,Ahmed,0
493,Abdallah Juma,Abdallah,,Juma,0
494,Abdallah Zohdy,Abdallah,,Zohdy,0
495,Abdel Kader Mohamed,Abdel,Kader,Mohamed,1
496,Abdel Kader Zaddem,Abdel,Kader,Zaddem,1
497,Abdel Razzak Bounour,Abdel,Razzak,Bounour,1
498,Abdelhak Maach,Abdelhak,,Maach,0
499,Abdelkader Hachlaf,Abdelkader,,Hachlaf,0
500,Abdelkhalek El-Banna,Abdelkhalek,,El-Banna,0
501,Abdelmalek Rahou,Abdelmalek,,Rahou,0
502,Abdelrahman El-Sayed,Abdelrahman,,El-Sayed,0
503,Abderrahmane Derouaz,Abderrahmane,,Derouaz,0
504,Abderrahmane Sebbar,Abderrahmane,,Sebbar,0
505,Abderrazak Ben Massaoud,Abderrazak,Ben,Massaoud,1
506,Abderrazak Chahat,Abderrazak,,Chahat,0
507,Abderrazak Houya,Abderrazak,,Houya,0
508,Abdeslem Dargouth,Abdeslem,,Dargouth,0
509,Abdessalem Arous,Abdessalem,,Arous,0
510,Abdou Fall,Abdou,,Fall,0
511,Abdou Faye,Abdou,,Faye,0
512,Abdou Mamadou Sow,Abdou,Mamadou,Sow,1
513,Abdou Traor,Abdou,,Traor,0
514,Abdoulaye Ba,Abdoulaye,,Ba,0
515,Abdoulaye Thera,Abdoulaye,,Thera,0
516,Abdoullah Bamoussa,Abdoullah,,Bamoussa,0
517,Abdourahman Osman,Abdourahman,,Osman,0
518,Abdul Ahad Kharot,Abdul,Ahad,Kharot,1
519,Abdul Al-Matrouk,Abdul,,Al-Matrouk,0
520,Abdul Fattah Haona,Abdul,Fattah,Haona,1
521,Abdul Ghafoor,Abdul,,Ghafoor,0
522,Abdul Ghafoor Assar,Abdul,Ghafoor,Assar,1
523,Abdul Ghafoor Khan,Abdul,Ghafoor,Khan,1
524,Abdul Haseem Khan,Abdul,Haseem,Khan,1
525,Abdul Kader Dabo,Abdul,Kader,Dabo,1
526,Abdul Mansaray,Abdul,,Mansaray,0
527,Abdul Omar,Abdul,,Omar,0
528,Abdul Qayyum Khan,Abdul,Qayyum,Khan,1
529,Abdul Rahman Mohammed,Abdul,Rahman,Mohammed,1
530,Abdul Rahman Omar,Abdul,Rahman,Omar,1
531,Abdul Razzak Aboobakur,Abdul,Razzak,Aboobakur,1
532,Abdul Razzaq Baloch,Abdul,Razzaq,Baloch,1
533,Abdul Reza Majdpour,Abdul,Reza,Majdpour,1
534,Abdul Tebazalwa,Abdul,,Tebazalwa,0
535,Abdul Waheed Khan,Abdul,Waheed,Khan,1
536,Abdullah Abdulrahman Zeyab,Abdullah,Abdulrahman,Zeyab,1
537,Abdullah Abdulrazaq Mayouf,Abdullah,Abdulrazaq,Mayouf,1
538,Abdullah Abkar Mohammed,Abdullah,Abkar,Mohammed,1
539,Abdullah Al-Shaye,Abdullah,,Al-Shaye,0
540,Abdullah Azzan Al-Akbary,Abdullah,Azzan,Al-Akbary,1
541,Abdullah Basheer Al-Abdullah,Abdullah,Basheer,Al-Abdullah,1
542,Abdullah Ben Sad,Abdullah,Ben,Sad,1
543,Abdullah Faraj Masoud,Abdullah,Faraj,Masoud,1
544,Abdullah Khodabandeh,Abdullah,,Khodabandeh,0
545,Abdullah Mussa,Abdullah,,Mussa,0
546,Abdullah Namat,Abdullah,,Namat,0
547,Abdullah Noor Wasughe,Abdullah,Noor,Wasughe,1
548,Abdullah Othman,Abdullah,,Othman,0
549,Abdulrazzaq Murad,Abdulrazzaq,,Murad,0
550,Abdurahman Jallow,Abdurahman,,Jallow,0
551,Abdusalam Hala Gezah,Abdusalam,Hala,Gezah,1
552,Abe Lenstra,Abe,,Lenstra,0
553,Abebe Gessese,Abebe,,Gessese,0
554,Abeer Essawy,Abeer,,Essawy,0
555,Abel Csar Almaraz,Abel,Csar,Almaraz,1
556,Abel Ndenguet,Abel,,Ndenguet,0
557,Abel Nkhoma,Abel,,Nkhoma,0
558,Abel Ortz,Abel,,Ortz,0
559,Abelardo Fernndez Antua,Abelardo,Fernndez,Antua,1
560,Abner Mares Martnez,Abner,Mares,Martnez,1
561,Abock Shoak,Abock,,Shoak,0
562,Abouelfetoh Abdelrazek,Abouelfetoh,,Abdelrazek,0
563,Abraham Assefa,Abraham,,Assefa,0
564,Abraham Sarkakhyan,Abraham,,Sarkakhyan,0
565,Abraham Sprachman,Abraham,,Sprachman,0
566,Abraham Surez,Abraham,,Surez,0
567,Abraham Sykes,Abraham,,Sykes,0
